Timestamp | Device_ID | Usage (Liters/min) | Status
2026-09-22 03:58:40 | FACILITY_WATER_MAIN | 16 | NORMAL
2026-09-22 03:58:40 | ICU_WATER_RESERVE | 25 | NORMAL
2026-09-22 03:58:41 | FACILITY_WATER_MAIN | 35 | NORMAL
2026-09-22 03:58:41 | ICU_WATER_RESERVE | 36 | HIGH_USAGE
2026-09-22 03:58:42 | FACILITY_WATER_MAIN | 11 | NORMAL
2026-09-22 03:58:42 | ICU_WATER_RESERVE | 28 | NORMAL
2026-09-22 03:58:43 | FACILITY_WATER_MAIN | 8 | NORMAL
2026-09-22 03:58:43 | ICU_WATER_RESERVE | 17 | NORMAL
2026-09-22 03:58:44 | FACILITY_WATER_MAIN | 8 | NORMAL
2026-09-22 03:58:44 | ICU_WATER_RESERVE | 17 | NORMAL
2026-09-22 03:58:45 | FACILITY_WATER_MAIN | 38 | HIGH_USAGE
2026-09-22 03:58:45 | ICU_WATER_RESERVE | 14 | NORMAL
2026-09-22 03:58:46 | FACILITY_WATER_MAIN | 9 | NORMAL
2026-09-22 03:58:46 | ICU_WATER_RESERVE | 12 | NORMAL
2026-09-22 03:58:47 | FACILITY_WATER_MAIN | 33 | NORMAL
2026-09-22 03:58:47 | ICU_WATER_RESERVE | 41 | HIGH_USAGE
2026-09-22 03:58:48 | FACILITY_WATER_MAIN | 8 | NORMAL
2026-09-22 03:58:48 | ICU_WATER_RESERVE | 40 | HIGH_USAGE
2026-09-22 03:58:49 | FACILITY_WATER_MAIN | 19 | NORMAL
2026-09-22 03:58:49 | ICU_WATER_RESERVE | 10 | NORMAL
2026-09-22 03:58:50 | FACILITY_WATER_MAIN | 17 | NORMAL
2026-09-22 03:58:50 | ICU_WATER_RESERVE | 21 | NORMAL
2026-09-22 03:58:51 | FACILITY_WATER_MAIN | 43 | HIGH_USAGE
2026-09-22 03:58:51 | ICU_WATER_RESERVE | 39 | HIGH_USAGE
2026-09-22 03:58:52 | FACILITY_WATER_MAIN | 17 | NORMAL
2026-09-22 03:58:52 | ICU_WATER_RESERVE | 11 | NORMAL
2026-09-22 03:58:53 | FACILITY_WATER_MAIN | 11 | NORMAL
2026-09-22 03:58:53 | ICU_WATER_RESERVE | 23 | NORMAL
2026-09-22 03:58:54 | FACILITY_WATER_MAIN | 23 | NORMAL
2026-09-22 03:58:54 | ICU_WATER_RESERVE | 22 | NORMAL
2026-09-22 03:58:55 | FACILITY_WATER_MAIN | 41 | HIGH_USAGE
2026-09-22 03:58:55 | ICU_WATER_RESERVE | 38 | HIGH_USAGE
2026-09-22 03:58:56 | FACILITY_WATER_MAIN | 9 | NORMAL
2026-09-22 03:58:56 | ICU_WATER_RESERVE | 18 | NORMAL
2026-09-22 03:58:57 | FACILITY_WATER_MAIN | 14 | NORMAL
2026-09-22 03:58:57 | ICU_WATER_RESERVE | 20 | NORMAL
2026-09-22 03:58:58 | FACILITY_WATER_MAIN | 38 | HIGH_USAGE
2026-09-22 03:58:58 | ICU_WATER_RESERVE | 34 | NORMAL
2026-09-22 03:58:59 | FACILITY_WATER_MAIN | 31 | NORMAL
2026-09-22 03:58:59 | ICU_WATER_RESERVE | 30 | NORMAL
2026-09-22 03:59:00 | FACILITY_WATER_MAIN | 11 | NORMAL
